Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
join query,20,1,1,2,2,8,1,8,0.00%,19.2,.0
Setup JSR223 Sampler,20,1,1,2,2,3,1,3,0.00%,20.1,.0
/jobs,20,48998,43560,98291,104753,120399,5396,120399,5.00%,.2,.2
Debug Sampler,40,0,0,1,1,1,0,1,0.00%,.0,.0
/resources/file/queryFile,19,396,226,537,563,2511,190,2511,0.00%,.2,.1
/jobs/id,278,42515,37161,82286,96355,120330,2161,123591,1.80%,.2,.2
/resources/file/logFile,273,220,201,289,323,501,170,683,0.00%,.2,.2
Query Transaction Controller,20,695484,595831,1150820,1428054,1431334,120421,1431334,65.00%,.0,.4
/jobs/jobId/results,14,74480,107064,123014,123014,123567,716,123567,50.00%,.0,.0
Cleanup JSR223 Sampler,7,1,1,1,1,1,1,1,0.00%,.0,.0
TOTAL,711,39126,315,74827,107064,891802,0,1431334,3.66%,.5,.8
